country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Belize,2023,BLZ,411115,,0,0,0.668,0.035,5.607,6.716,-0.436,-6.1,16.336,,,1.625,,,,,,,,0,21.03,350.573,,0.017,0.051,441.046,20.961,,,,0.005,0.013,0,0,2.564,18.134,6.048,14.711,0.544,1.322,0.216,0.525,0.663,1.612,,,,0,0.002,0.016,,0,0.001,0.013,,0,0,0.054,0.003,,0.001,0,0.167,0.005,,0.011,0,0,0,0,7.455,1.054,,
Benin,2023,BEN,14111035,,0.363,0.026,5.592,-0.2,-3.454,8.568,-0.768,-8.223,0.607,,,0.396,,,0.289,0.021,,,,7.079,121.689,1271.773,2.368,0,1.73,1045.077,110.511,,,,0,0,0.327,0.023,0.79,1.86,2.976,0.211,8.613,0.61,3.119,0.221,4.614,0.327,,,,0.023,0.015,0.021,0.002,0.015,0.007,0.048,0,0,0.001,0.128,0.018,,0,0.004,0.082,0.038,,0.048,0,0,0.001,0,26.242,11.15,,
Bermuda,2023,BMU,64721,,0,0,0.523,0.022,4.322,,,,,,,8.074,,,0,0,,,,0,30.442,,0.04,0,,,30.401,,,,0,0,,,,,,,,,,,0.523,8.074,,,,0,0.001,,0,0,0.002,,0,0,,,0.005,,0,,,0.004,,0.001,,0,0,,,,,
Bhutan,2023,BTN,786387,,0.438,0.557,1.713,0.078,4.754,6.369,-0.902,-12.408,8.099,,,2.178,,,0.846,1.075,,,,7.113,28.952,641.638,12.085,0,,1069.323,9.754,,,,0,0,,,3.531,6.362,4.656,5.92,1.377,1.751,0.204,0.259,0.429,0.546,,,,0.028,0.005,0.015,0.005,0.015,0.002,0.024,0.001,0,,0.13,0.002,,0,,0.128,0.004,,0.025,0,0,0,0,5.003,2.777,,
Bolivia,2023,BOL,12244161,,1.568,0.128,23.359,0.981,4.384,82.872,1.906,2.354,6.768,,,1.908,,,0.021,0.002,,,,31.893,609.297,6979.229,2.956,49.237,180.539,7908.019,344.671,,,,0.076,0.006,8.958,0.732,2.76,11.703,59.512,4.86,32.639,2.666,10.601,0.866,12.736,1.04,,,,0.1,0.062,0.2,0,0.066,0.034,0.266,0,0.249,0.067,0.965,0.055,,0.019,0.113,1.642,0.104,,0.28,0.001,0.003,0.005,0,143.291,33.789,,
Bonaire Sint Eustatius and Saba,2023,BES,29919,,0,0,0.115,0.005,4.321,,,,,,,3.84,,,,,,,,0,7.639,,,0,,,7.639,,,,0,0,,,,,,,,,,,0.115,3.84,,,,0,0,,,0,0,,,0,,,0.001,,0,,,0.001,,0,,0,0,,,,,
Bosnia and Herzegovina,2023,BIH,3185071,,0.42,0.132,20.179,-0.784,-3.741,19.233,-0.674,-3.386,6.038,,,6.336,,,14.309,4.493,,,,12.634,1024.611,1261.222,808.008,0.33,25.638,622.639,178.001,,,,0,0,0.53,0.166,7.734,8.411,-0.946,-0.297,5.224,1.64,1.087,0.341,4.921,1.545,,,,0.027,0.053,0.046,0.093,0.026,0.057,0.048,0.097,0.002,0.009,0.076,0.028,,0,0.007,-0.026,0.04,,0.054,0,0.001,0.001,0,26.791,24.634,,
Botswana,2023,BWA,2480242,,0,0,6.714,0.118,1.79,6.482,0.227,3.623,2.613,,,2.707,,,3.783,1.525,,,,0.237,173.465,276.557,97.95,0,0.004,268.961,75.273,,,,0,0,0,0,3.59,12.651,-0.232,-0.094,10.604,4.275,8.029,3.237,2.93,1.181,,,,0,0.018,0.016,0.025,0,0.01,0.011,0.012,0,0,0.033,0.012,,0,0,-0.006,0.024,,0.042,0,0,0.001,0,31.377,8.903,,
Brazil,2023,BRA,211140731,,24.963,0.118,486.47,2.63,0.543,1788.816,-22.736,-1.255,8.472,,0.464,2.304,,0.126,54.848,0.26,,,,847.729,17726.992,138911.578,2660.93,490.182,1445.716,121418.734,12100.013,182.421,17806.445,,17.505,0.083,56.329,0.267,3.468,11.281,1302.346,6.168,611.426,2.896,201.954,0.956,326.432,1.546,0.03,6.392,3853.715,1.591,1.287,4.319,0.356,1.753,0.978,5.287,0.318,2.476,0.535,14.816,1.926,1.77,4.26,0.713,35.928,2.674,2.123,5.026,0.025,0.055,0.084,0.004,2381.904,732.213,,
British Virgin Islands,2023,VGB,39008,,0,0,0.185,0.008,4.322,,,,,,,4.75,,,,,,,,0,6.082,,,0,,,6.082,,,,0,0,,,,,,,,,0,0,0.185,4.75,,,,0,0,,,0,0,,,0,,,0.001,,0,,,0.002,,0,0,0,0,0,,,,
